literal,direction,category
could be ruled out for,backward,poss
currently,terminate,histexp
dad,backward,exp_family
dad:,backward,exp_family
dad's,backward,exp_family
declined,backward,neg
declines,backward,neg
denied,backward,neg
denies,backward,neg
denying,backward,neg
did not rule out,forward,poss
did rule her out,backward,neg
did rule her out against,backward,neg
did rule her out for,backward,neg
did rule him out,backward,neg
did rule him out against,backward,neg
did rule him out for,backward,neg
did rule out,backward,neg
did rule out against,backward,neg
did rule out for,backward,neg
did rule the patient out,backward,neg
did rule the patient out against,backward,neg
did rule the patient out for,backward,neg
doesn't look like,backward,neg
ed,terminate,hist
emergency department,terminate,hist
etiology for,terminate,neg
etiology of,terminate,neg
evaluate for,backward,hypo
evaluation for,backward,hypo
except,terminate,neg
fails to reveal,backward,neg
family,backward,exp_family
fam hx,backward,exp_family
fam hx:,backward,exp_family
father,backward,exp_family
father:,backward,exp_family
father's,backward,exp_family
free,forward,neg
free of,backward,neg
gram negative,pseudo,neg
grandfather,backward,exp_family
grandfather's,backward,exp_family
grandfather:,backward,exp_family
grandmother,backward,exp_family
grandmother's,backward,exp_family
grandmother:,backward,exp_family
has been negative,forward,neg
has been ruled out,forward,neg
have been ruled out,forward,neg
her,terminate,hypoexp
his,terminate,hypoexp
hx of,backward,hist
h/o,backward,hist
statuspost,backward,hist
status/post,backward,hist
status-post,backward,hist
status post,backward,hist
year ago,backward,hist
year ago,forward,hist
years ago,backward,hist
years ago,forward,hist
have had,backward,hist
has had,backward,hist
had,backward,hist
underwent,backward,hist
husband,backward,exp_family
ho,backward,hist
history,backward,hist
history of,backward,hist
history and,pseudo,hist
history and examination,pseudo,hist
history and physical,pseudo,hist
history for,pseudo,hist
history of chief complaint,pseudo,hist
history of present illness,pseudo,hist
history taking,pseudo,hist
"history, physical",pseudo,hist
however,terminate,neg
if,backward,hypo
if negative,pseudo,hypo
inconsistent with,backward,neg
is not,backward,neg
is ruled out,forward,neg
is to be ruled out,forward,poss
is to be ruled out for,backward,poss
isn't,backward,neg
lack of,backward,neg
lacked,backward,neg
may be ruled out,forward,poss
may be ruled out for,backward,poss
discussed,backward,poss
might be ruled out,forward,poss
might be ruled out for,backward,poss
mom,backward,exp_family
mom:,backward,exp_family
mom's,backward,exp_family
mother,backward,exp_family
mother:,backward,exp_family
mother's,backward,exp_family
must be ruled out,forward,poss
must be ruled out for,backward,poss
negative for,backward,neg
never developed,backward,neg
never had,backward,neg
nevertheless,terminate,neg
no,backward,neg
no abnormal,backward,neg
no cause of,backward,neg
no change,pseudo,neg
no complaints of,backward,neg
no definite change,pseudo,neg
no evidence,backward,neg
no evidence to suggest,backward,neg
no findings of,backward,neg
no findings to indicate,backward,neg
no history of,backward,neg
no increase,pseudo,neg
no interval change,pseudo,neg
no longer present,forward,neg
no mammographic evidence of,backward,neg
no new,backward,neg
no new evidence,backward,neg
no other evidence,backward,neg
no radiographic evidence of,backward,neg
no sign of,backward,neg
no significant,backward,neg
no significant change,pseudo,neg
no significant interval change,pseudo,neg
no signs of,backward,neg
no suggestion of,backward,neg
no suspicious,backward,neg
no suspicious change,pseudo,neg
non diagnostic,forward,neg
not,backward,neg
not appear,backward,neg
not appreciate,backward,neg
not associated with,backward,neg
not been ruled out,forward,poss
not cause,pseudo,neg
not certain if,pseudo,neg
not certain whether,pseudo,neg
not complain of,backward,neg
not demonstrate,backward,neg
not drain,pseudo,neg
not exhibit,backward,neg
not extend,pseudo,neg
not feel,backward,neg
not had,backward,neg
not have,backward,neg
not have evidence of,backward,neg
not know of,backward,neg
not known to have,backward,neg
not necessarily,pseudo,neg
not on,pseudo,neg
not only,pseudo,neg
not recommended,forward,neg
not recommend,backward,neg
not recommending,backward,neg
not reveal,backward,neg
not ruled out,forward,poss
not see,backward,neg
not to be,backward,neg
nothing to suggest,backward,neg
noted,terminate,histexp
now resolved,forward,neg
origin for,terminate,neg
origin of,terminate,neg
origins for,terminate,neg
origins of,terminate,neg
other possibilities of,terminate,neg
ought to be ruled out,forward,poss
ought to be ruled out for,backward,poss
past history,backward,hist
past,backward,hist
following up,backward,hist
following,backward,hist
received,backward,hist
past medical history,backward,hist
patient,terminate,hypoexp
patient was not,backward,neg
patient's,terminate,hypoexp
poor history,pseudo,hist
presenting,terminate,histexp
presents,terminate,histexp
prophylaxis,forward,neg
r/o,backward,neg
rather than,backward,neg
reason for,terminate,neg
reason of,terminate,neg
reasons for,terminate,neg
reasons of,terminate,neg
reported,terminate,histexp
reports,terminate,histexp
resolved,backward,neg
resolved after,forward,neg
return,backward,hypo
ro,backward,neg
rule her out,backward,neg
rule her out for,backward,neg
rule him out,backward,neg
rule him out for,backward,neg
rule out,backward,neg
rule out for,backward,neg
rule the patient out,backward,neg
rule the patinet out for,backward,neg
ruled her out,backward,neg
ruled her out against,backward,neg
ruled her out for,backward,neg
ruled him out,backward,neg
ruled him out against,backward,neg
ruled him out for,backward,neg
ruled out,backward,neg
ruled out against,backward,neg
ruled out for,backward,neg
ruled the patient out,backward,neg
ruled the patient out against,backward,neg
ruled the patient out for,backward,neg
rules her out,backward,neg
rules her out for,backward,neg
rules him out,backward,neg
rules him out for,backward,neg
rules out,backward,neg
rules out for,backward,neg
rules the patient out,backward,neg
rules the patient out for,backward,neg
secondary,terminate,neg
secondary to,terminate,neg
should be ruled out,forward,neg
should be ruled out for,backward,neg
should he,backward,hypo
should she,backward,hypo
should the patient,backward,hypo
should there,backward,hypo
since,terminate,hypo
sister,backward,exp_family
sister's,backward,exp_family
social history,pseudo,hist
son,backward,exp_family
source for,terminate,neg
source of,terminate,neg
sources for,terminate,neg
sources of,terminate,neg
states,terminate,histexp
still,terminate,neg
sudden onset of,pseudo,hist
sufficient to rule her out,backward,neg
sufficient to rule her out against,backward,neg
sufficient to rule her out for,backward,neg
sufficient to rule him out,backward,neg
sufficient to rule him out against,backward,neg
sufficient to rule him out for,backward,neg
sufficient to rule out,backward,neg
sufficient to rule out against,backward,neg
sufficient to rule out for,backward,neg
sufficient to rule the patient out,backward,neg
sufficient to rule the patient out against,backward,neg
sufficient to rule the patient out for,backward,neg
test for,backward,neg
though,terminate,neg
to exclude,backward,neg
today,terminate,histexp
trigger event for,terminate,neg
uncle,backward,exp_family
uncle:,backward,exp_family
uncle's,backward,exp_family
unlikely,forward,neg
unremarkable for,backward,neg
was found,terminate,histexp
was negative,forward,neg
was not,backward,neg
was ruled out,forward,neg
wasn't,backward,neg
what must be ruled out is,backward,poss
which,terminate,exp
wife,backward,exp_family
who,terminate,hypoexp
will be ruled out,forward,poss
will be ruled out for,backward,poss
with no,backward,neg
without,backward,neg
without any evidence of,backward,neg
without difficulty,pseudo,neg
without evidence,backward,neg
without indication of,backward,neg
without sign of,backward,neg
yet,terminate,neg
returned negative,forward,neg
sometimes,pseudo,hypo
eval,backward,hypo
dose decrease,pseudo,dose
decrease dose,pseudo,dose
discontinue,pseudo,dose
dicontinuation,pseudo,dose
delay,pseudo,dose
hold,pseudo,dose
dose reduction,pseudo,dose
reduce dose,pseudo,dose
reduce frequency,pseudo,dose
frequency reduction,pseudo,dose
stop,pseudo,dose
start,pseudo,dose
initiate,pseudo,dose
initiation,pseudo,dose
begin,pseudo,dose
began,pseudo,dose
started,pseudo,dose
